_id,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
81,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
82,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
83,Dosing Default,06:09,06:09,Trough [02-01-160],12.0,9.6,14.06,14.06,13.85,-0.21
84,Dosing Default,06:09,06:10,Trough [02-01-161],12.0,9.0,10.97,10.97,10.61,-0.36
85,Dosing Default,06:10,06:10,Trough [02-01-162],12.0,10.2,9.81,9.81,9.4,-0.41
86,Dosing Default,06:10,06:10,Trough [02-01-163],12.0,12.0,12.64,12.64,12.21,-0.43
87,Dosing Default,06:10,06:11,Trough [02-01-164],12.0,8.4,8.54,8.54,8.09,-0.45
88,Dosing Default,06:11,06:11,Trough [02-01-165],12.0,12.6,13.52,13.52,12.94,-0.58
89,Dosing Default,06:11,06:11,Trough [02-01-166],12.0,9.6,9.81,9.81,9.43,-0.38
90,Dosing Default,06:12,06:12,Trough [02-01-167],12.0,9.6,9.56,9.56,9.16,-0.4
91,Dosing Default,06:12,06:12,Trough [02-01-168],12.0,10.2,11.12,11.12,10.75,-0.37
92,Dosing Default,06:12,06:13,Trough [02-01-169],12.0,10.8,11.09,11.09,10.49,-0.6
93,Dosing Default,06:13,06:13,Trough [02-01-170],12.0,8.4,9.05,9.05,7.88,-1.17
94,Dosing Default,06:15,06:15,Trough [02-01-171],10.0,8.0,8.44,8.44,8.49,0.05
95,Dosing Default,06:16,06:16,Trough [02-01-172],12.0,11.4,11.37,11.37,10.99,-0.38
96,Dosing Default,06:16,06:16,Trough [02-01-173],12.0,12.0,12.72,12.72,12.11,-0.61
97,Dosing Default,06:16,06:16,Trough [02-01-174],12.0,9.0,8.99,8.99,8.88,-0.11
98,Dosing Default,06:17,06:17,Trough [02-01-175],12.0,9.6,9.81,9.81,9.78,-0.03
99,Dosing Default,06:17,06:17,Trough [02-01-176],12.0,10.8,11.21,11.21,10.54,-0.67
100,Dosing Default,06:17,06:18,Trough [02-01-177],12.0,10.2,10.5,10.5,9.99,-0.51
101,Dosing Default,06:18,06:18,Trough [02-01-178],12.0,9.6,10.93,10.93,10.2,-0.73
102,Dosing Default,06:18,06:18,Trough [02-01-179],12.0,11.4,13.89,13.89,13.02,-0.87
103,Dosing Default,06:19,06:19,Trough [02-01-180],12.0,11.4,12.14,12.14,12.3,0.16
104,Dosing Default,06:19,06:19,Trough [02-01-181],12.0,7.8,8.43,8.43,7.31,-1.12
105,Dosing Default,06:19,06:20,Trough [02-01-182],12.0,10.8,11.48,11.48,10.81,-0.67
106,Dosing Default,06:21,06:22,Trough [02-01-183],12.0,9.6,9.93,9.93,10.05,0.12
107,Dosing Default,06:22,06:22,Trough [02-01-184],12.0,11.4,11.76,11.76,11.11,-0.65
108,Dosing Default,06:22,06:23,Trough [02-01-185],12.0,11.4,12.0,12.0,11.84,-0.16
109,Dosing Default,06:23,06:23,Trough [02-01-186],12.0,10.2,10.55,10.55,10.48,-0.07
110,Dosing Default,06:23,06:23,Trough [02-01-187],12.0,12.6,13.21,13.21,12.9,-0.31
111,Dosing Default,06:23,06:24,Trough [02-01-188],12.0,12.6,12.96,12.96,12.63,-0.33
112,Dosing Default,06:24,06:24,Trough [02-01-189],12.0,13.2,13.5,13.5,12.78,-0.72
113,Dosing Default,06:24,06:24,Trough [02-01-190],12.0,9.6,9.98,9.98,9.29,-0.69
114,Dosing Default,06:25,06:25,Trough [02-01-191],12.0,10.2,10.67,10.67,10.52,-0.15
115,Dosing Default,06:25,06:25,Trough [02-01-192],12.0,10.8,11.29,11.29,10.52,-0.77
116,Dosing Default,06:25,06:26,Trough [02-01-193],12.0,9.6,9.93,9.93,9.0,-0.93
117,Dosing Default,06:26,06:26,Trough [02-01-194],12.0,10.8,11.46,11.46,11.59,0.13
118,Dosing Default,06:28,06:28,Trough [01-01-195],12.0,11.4,11.81,11.81,11.12,-0.69
119,Dosing Default,06:28,06:28,Trough [01-01-196],12.0,9.6,9.91,9.91,9.68,-0.23
120,Dosing Default,06:29,06:29,Trough [01-01-197],12.0,10.8,10.93,10.93,10.58,-0.35
121,Dosing Default,06:29,06:29,Trough [01-01-198],12.0,9.6,9.81,9.81,9.68,-0.13
122,Dosing Default,06:29,06:30,Trough [01-01-199],12.0,10.8,11.5,11.5,11.85,0.35
123,Dosing Default,06:30,06:30,Trough [01-01-200],12.0,13.2,13.76,13.76,13.3,-0.46
124,Dosing Default,06:30,06:30,Trough [01-01-201],12.0,11.4,12.07,12.07,11.59,-0.48
125,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
126,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
127,Dosing Default,06:30,06:31,Trough [01-01-202],12.0,8.4,9.13,9.13,8.69,-0.44
128,43896                                                                                                                     Status           Finished,"","","","","","","","",""
129,Recipe,"","","","","","","","",""
130,Density Dry matter,"","","","","","","","",""
131,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
132,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
133,Loading WeightBased,06:39,06:41,Strobunker 1,57.6,47.53,49.69,47.96,47.92,-0.04
134,Mixing Continuous,06:39,06:41,"",0.0,0.0,0.0,0.0,0.0,0.0
135,Loading WeightBased,06:42,06:44,Broksilo 4,582.4,480.57,502.43,484.92,484.02,-0.9
136,Mixing Continuous,06:42,06:44,"",0.0,0.0,0.0,0.0,0.0,0.0
137,Mixing OnTime,06:44,06:48,"",0.0,0.0,0.0,0.0,0.0,0.0
138,Dosing Default,06:50,06:51,Trough [01-01-203],12.0,8.4,8.67,8.67,8.17,-0.5
139,Dosing Default,06:51,06:51,Trough [01-01-204],12.0,12.6,13.48,13.48,12.86,-0.62
140,Dosing Default,06:51,06:51,Trough [01-01-205],12.0,10.8,11.31,11.31,10.5,-0.81
141,Dosing Default,06:52,06:52,Trough [01-01-206],12.0,9.0,9.52,9.52,9.32,-0.2
142,Dosing Default,06:54,06:54,Trough [01-01-207],12.0,11.4,12.15,12.15,11.93,-0.22
143,Dosing Default,06:54,06:54,Trough [01-01-208],12.0,9.6,10.25,10.25,9.76,-0.49
144,Dosing Default,06:54,06:54,Trough [01-01-209],10.0,8.5,9.12,9.12,9.12,0.0
145,Dosing Default,06:55,06:55,Trough [01-01-210],12.0,10.8,5.81,5.81,5.58,-0.23
146,Dosing Default,06:55,06:55,Trough [01-01-211],12.0,11.4,16.61,16.61,16.67,0.06
147,Dosing Default,06:55,06:55,Trough [01-01-212],12.0,8.4,8.58,8.58,8.76,0.18
148,Dosing Default,06:56,06:56,Trough [01-01-213],12.0,11.4,12.14,12.14,12.18,0.04
149,Dosing Default,06:56,06:56,Trough [01-01-214],12.0,13.2,13.23,13.23,12.53,-0.7
150,Dosing Default,06:56,06:57,Trough [01-01-215],12.0,11.4,12.06,12.06,11.33,-0.73
151,Dosing Default,06:57,06:57,Trough [01-01-216],12.0,10.2,10.53,10.53,9.7,-0.83
152,Dosing Default,06:57,06:57,Trough [01-01-217],12.0,7.8,7.04,7.04,10.53,3.49
153,Dosing Default,06:57,06:58,Trough [01-01-218],12.0,10.8,14.27,14.27,13.82,-0.45
154,Dosing Default,07:00,07:00,Trough [01-01-219],12.0,8.4,8.69,8.69,8.3,-0.39
155,Dosing Default,07:00,07:00,Trough [01-01-220],12.0,6.0,6.35,6.35,5.81,-0.54
156,Dosing Default,07:00,07:01,Trough [01-01-221],12.0,9.0,9.5,9.5,9.1,-0.4
157,Dosing Default,07:01,07:01,Trough [01-01-222],12.0,9.6,10.82,10.82,10.79,-0.03
158,Dosing Default,07:01,07:01,Trough [01-01-223],12.0,11.4,11.64,11.64,11.03,-0.61
159,Dosing Default,07:01,07:02,Trough [01-01-224],12.0,10.2,10.58,10.58,10.03,-0.55
160,Dosing Default,07:02,07:02,Trough [01-01-225],12.0,8.4,8.71,8.71,8.41,-0.3
161,Dosing Default,07:02,07:02,Trough [01-01-226],10.0,7.0,6.97,6.97,6.81,-0.16
162,Dosing Default,07:03,07:03,Trough [01-01-227],12.0,7.2,8.15,8.15,8.16,0.01
163,Dosing Default,07:03,07:03,Trough [01-01-228],12.0,10.2,11.02,11.02,10.3,-0.72
164,Dosing Default,07:03,07:04,Trough [01-01-229],12.0,8.4,8.87,8.87,8.44,-0.43
165,Dosing Default,07:04,07:04,Trough [01-01-230],12.0,8.4,9.22,9.22,9.02,-0.2
166,Dosing Default,07:06,07:06,Trough [01-02-231],12.0,10.8,10.98,10.98,10.4,-0.58
167,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
168,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
169,Dosing Default,07:06,07:06,Trough [01-02-232],12.0,12.6,13.1,13.1,12.77,-0.33
170,Dosing Default,07:06,07:07,Trough [01-02-233],12.0,8.4,8.51,8.51,8.06,-0.45
171,Dosing Default,07:07,07:07,Trough [01-02-234],12.0,9.0,9.26,9.26,8.95,-0.31
172,Dosing Default,07:07,07:08,Trough [01-02-235],12.0,13.2,13.23,13.23,13.86,0.63
173,Dosing Default,07:08,07:08,Trough [01-02-236],12.0,10.2,10.57,10.57,10.64,0.07
174,Dosing Default,07:08,07:08,Trough [01-02-237],12.0,10.2,10.37,10.37,9.98,-0.39
175,Dosing Default,07:08,07:09,Trough [01-02-238],12.0,10.2,10.66,10.66,10.02,-0.64
176,Dosing Default,07:09,07:09,Trough [01-02-239],12.0,10.2,10.5,10.5,10.0,-0.5
177,Dosing Default,07:09,07:09,Trough [01-02-240],12.0,11.4,11.25,11.25,10.42,-0.83
178,Dosing Default,07:10,07:10,Trough [01-02-241],10.0,7.5,7.55,7.55,6.87,-0.68
179,Dosing Default,07:10,07:10,Trough [01-02-242],12.0,10.8,11.39,11.39,10.51,-0.88
180,Dosing Default,07:12,07:12,Trough [01-02-243],12.0,7.8,9.22,9.22,8.91,-0.31
181,Dosing Default,07:12,07:13,Trough [01-02-244],12.0,12.0,12.57,12.57,12.09,-0.48
182,Dosing Default,07:13,07:13,Trough [01-02-245],12.0,9.6,9.56,9.56,9.37,-0.19
183,Dosing Default,07:13,07:13,Trough [01-02-246],12.0,8.4,8.62,8.62,8.34,-0.28
184,Dosing Default,07:14,07:14,Trough [01-02-247],12.0,10.8,11.66,11.66,10.91,-0.75
185,Dosing Default,07:14,07:14,Trough [01-02-248],12.0,7.2,7.35,7.35,6.98,-0.37
186,Dosing Default,07:14,07:15,Trough [01-02-249],10.0,9.5,9.84,9.84,9.25,-0.59
187,Dosing Default,07:15,07:15,Trough [01-02-250],12.0,10.8,11.16,11.16,10.73,-0.43
188,Dosing Default,07:15,07:16,Trough [01-02-251],12.0,9.0,9.77,9.77,9.42,-0.35
189,Dosing Default,07:16,07:16,Trough [01-02-252],12.0,12.0,12.0,12.0,10.99,-1.01
190,Dosing Default,07:16,07:17,Trough [01-02-253],12.0,10.2,10.34,10.34,9.95,-0.39
191,Dosing Default,07:17,07:17,Trough [01-02-254],12.0,8.4,8.65,8.65,8.17,-0.48
192,Dosing Default,07:19,07:19,Trough [01-02-255],12.0,8.4,8.62,8.62,8.6,-0.02
193,Dosing Default,07:19,07:19,Trough [01-02-256],12.0,9.6,10.09,10.09,9.62,-0.47
194,43897                                                                                                                     Status           Finished,"","","","","","","","",""
195,Recipe,"","","","","","","","",""
196,Density Dry matter,"","","","","","","","",""
197,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
198,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
199,Loading WeightBased,07:26,07:28,Strobunker 1,48.78,45.42,47.27,45.8,45.67,-0.13
200,Mixing Continuous,07:26,07:28,"",0.0,0.0,0.0,0.0,0.0,0.0
201,Loading WeightBased,07:29,07:31,Broksilo 4,493.22,459.28,477.96,463.11,462.52,-0.59
202,Mixing Continuous,07:29,07:31,"",0.0,0.0,0.0,0.0,0.0,0.0
203,Mixing OnTime,07:31,07:35,"",0.0,0.0,0.0,0.0,0.0,0.0
204,Dosing Default,07:36,07:36,Trough [01-02-257],12.0,9.6,9.38,9.38,9.06,-0.32
205,Dosing Default,07:36,07:36,Trough [01-02-258],10.0,9.5,9.21,9.21,8.87,-0.34
206,Dosing Default,07:37,07:37,Trough [01-02-259],12.0,10.2,10.58,10.58,9.82,-0.76
207,Dosing Default,07:37,07:37,Trough [01-02-260],12.0,9.6,10.48,10.48,10.12,-0.36
208,Dosing Default,07:37,07:37,Trough [01-02-261],12.0,13.2,13.18,13.18,12.86,-0.32
209,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
210,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
211,Dosing Default,07:38,07:38,Trough [01-02-262],12.0,12.6,13.48,13.48,12.99,-0.49
212,Dosing Default,07:38,07:38,Trough [01-02-263],12.0,12.0,12.71,12.71,11.4,-1.31
213,Dosing Default,07:38,07:39,Trough [01-02-264],12.0,10.8,11.78,11.78,11.38,-0.4
214,Dosing Default,07:39,07:39,Trough [01-02-265],10.0,7.5,8.34,8.34,8.12,-0.22
215,Dosing Default,07:39,07:40,Trough [01-02-266],12.0,9.6,10.0,10.0,9.28,-0.72
216,Dosing Default,07:41,07:41,Trough [01-02-267],12.0,12.6,12.54,12.54,12.63,0.09
217,Dosing Default,07:42,07:42,Trough [01-02-268],12.0,10.2,10.19,10.19,10.16,-0.03
218,Dosing Default,07:42,07:42,Trough [01-02-269],12.0,9.0,9.17,9.17,8.99,-0.18
219,Dosing Default,07:42,07:43,Trough [01-02-270],12.0,11.4,12.98,12.98,12.7,-0.28
220,Dosing Default,07:43,07:43,Trough [01-02-271],12.0,12.0,10.98,10.98,10.51,-0.47
221,Dosing Default,07:43,07:43,Trough [01-02-272],12.0,12.0,12.2,12.2,12.08,-0.12
222,Dosing Default,07:44,07:44,Trough [01-02-273],12.0,11.4,12.51,12.51,11.88,-0.63
223,Dosing Default,07:44,07:44,Trough [01-02-274],12.0,11.4,11.68,11.68,10.58,-1.1
224,Dosing Default,07:44,07:45,Trough [01-02-275],12.0,10.2,11.1,11.1,9.79,-1.31
225,Dosing Default,07:45,07:45,Trough [01-02-276],12.0,12.0,12.63,12.63,12.59,-0.04
226,Dosing Default,07:45,07:45,Trough [01-02-277],12.0,10.2,10.87,10.87,9.75,-1.12
227,Dosing Default,07:45,07:46,Trough [01-02-278],12.0,10.8,11.29,11.29,10.66,-0.63
228,Dosing Default,07:47,07:48,Trough [01-02-279],12.0,10.8,12.1,12.1,11.89,-0.21
229,Dosing Default,07:48,07:48,Trough [01-02-280],12.0,13.2,13.62,13.62,13.08,-0.54
230,Dosing Default,07:48,07:48,Trough [01-02-281],10.0,12.5,12.99,12.99,12.44,-0.55
231,Dosing Default,07:48,07:49,Trough [01-02-282],12.0,10.8,10.22,10.22,10.41,0.19
232,Dosing Default,07:49,07:49,Trough [01-02-283],12.0,12.6,13.43,13.43,13.32,-0.11
233,Dosing Default,07:49,07:49,Trough [01-02-284],12.0,13.2,13.66,13.66,13.04,-0.62
234,Dosing Default,07:50,07:50,Trough [01-02-285],12.0,9.6,10.3,10.3,9.13,-1.17
235,Dosing Default,07:50,07:50,Trough [01-02-286],10.0,11.5,12.3,12.3,11.36,-0.94
236,Dosing Default,07:50,07:51,Trough [01-02-287],12.0,9.0,8.97,8.97,8.32,-0.65
237,Dosing Default,07:51,07:51,Trough [01-02-288],12.0,12.6,13.58,13.58,12.46,-1.12
238,Dosing Default,07:51,07:52,Trough [01-02-289],12.0,12.6,13.01,13.01,12.06,-0.95
239,Dosing Default,07:52,07:52,Trough [01-02-290],12.0,9.0,9.23,9.23,8.71,-0.52
240,Dosing Default,07:54,07:54,Trough [01-02-291],12.0,10.8,11.44,11.44,11.13,-0.31
241,Dosing Default,07:54,07:54,Trough [01-02-292],12.0,9.6,10.23,10.23,9.64,-0.59
242,Dosing Default,07:54,07:55,Trough [01-02-293],12.0,9.6,9.93,9.93,9.38,-0.55
243,Dosing Default,07:55,07:55,Trough [01-02-294],12.0,10.8,11.25,11.25,10.88,-0.37
244,Dosing Default,07:55,07:56,Trough [01-02-295],12.0,10.8,10.61,10.61,10.21,-0.4
245,Dosing Default,07:56,07:56,Trough [01-02-296],12.0,12.6,13.11,13.11,12.73,-0.38
246,Dosing Default,07:56,07:56,Trough [01-02-297],12.0,8.4,8.69,8.69,8.65,-0.04
247,Dosing Default,07:56,07:57,Trough [01-02-298],12.0,10.8,11.13,11.13,10.79,-0.34
248,Dosing Default,07:57,07:57,Trough [01-02-299],12.0,7.2,7.71,7.71,7.65,-0.06
249,Dosing Default,07:57,07:57,Trough [01-02-300],12.0,14.4,15.65,15.65,14.9,-0.75
250,Dosing Default,07:58,07:58,Trough [01-02-301],10.0,12.5,12.34,12.34,11.86,-0.48
251,Dosing Default,07:58,07:58,Trough [01-02-302],12.0,12.0,12.46,12.46,12.21,-0.25
252,43898                                                                                                                     Status           Finished,"","","","","","","","",""
253,Recipe,"","","","","","","","",""
254,Density Dry matter,"","","","","","","","",""
255,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
256,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
257,Loading WeightBased,08:03,08:05,Strobunker 1,52.92,41.95,43.7,41.71,42.77,1.06
258,Mixing Continuous,08:04,08:05,"",0.0,0.0,0.0,0.0,0.0,0.0
259,Loading WeightBased,08:06,08:08,Broksilo 4,535.08,424.15,441.88,421.74,420.84,-0.9
260,Mixing Continuous,08:06,08:08,"",0.0,0.0,0.0,0.0,0.0,0.0
261,Mixing OnTime,08:08,08:12,"",0.0,0.0,0.0,0.0,0.0,0.0
262,Dosing Default,08:14,08:14,Trough [03-01-001],4.0,1.8,1.62,1.62,1.46,-0.16
263,Dosing Default,08:15,08:15,Trough [03-01-002],12.0,8.4,8.6,8.6,8.8,0.2
264,Dosing Default,08:15,08:15,Trough [03-01-003],12.0,7.8,8.32,8.32,8.03,-0.29
265,Dosing Default,08:16,08:16,Trough [03-01-004],12.0,4.8,4.08,4.08,3.17,-0.91
266,Dosing Default,08:16,08:16,Trough [03-01-005],12.0,8.4,6.81,6.81,6.75,-0.06
267,Dosing Default,08:16,08:17,Trough [03-01-006],12.0,8.4,8.63,8.63,8.37,-0.26
268,Dosing Default,08:17,08:17,Trough [03-01-007],12.0,7.2,8.1,8.1,7.99,-0.11
269,Dosing Default,08:17,08:17,Trough [03-01-008],12.0,9.6,10.55,10.55,9.91,-0.64
270,Dosing Default,08:17,08:17,Trough [03-01-009],12.0,10.2,10.73,10.73,10.27,-0.46
271,Dosing Default,08:18,08:18,Trough [03-01-010],12.0,10.2,10.78,10.78,9.78,-1.0
272,Dosing Default,08:18,08:18,Trough [03-01-011],12.0,11.4,11.1,11.1,10.11,-0.99
273,Dosing Default,08:19,08:19,Trough [03-01-012],12.0,10.8,11.65,11.65,11.22,-0.43
274,Dosing Default,08:19,08:19,Trough [03-01-013],12.0,9.0,9.12,9.12,8.69,-0.43
275,Dosing Default,08:21,08:21,Trough [03-02-014],12.0,10.2,10.1,10.1,9.93,-0.17
276,Dosing Default,08:21,08:21,Trough [03-02-015],12.0,10.2,10.84,10.84,10.29,-0.55
277,Dosing Default,08:22,08:22,Trough [03-02-016],12.0,10.8,10.79,10.79,10.32,-0.47
278,Dosing Default,08:22,08:22,Trough [03-02-017],12.0,8.4,8.54,8.54,8.49,-0.05
279,Dosing Default,08:22,08:23,Trough [03-02-018],12.0,10.2,9.69,9.69,9.51,-0.18
280,Dosing Default,08:23,08:23,Trough [03-02-019],12.0,10.2,10.9,10.9,10.83,-0.07
281,Dosing Default,08:23,08:23,Trough [03-02-020],10.0,8.5,8.94,8.94,8.72,-0.22
282,Dosing Default,08:23,08:24,Trough [03-02-021],12.0,9.6,9.78,9.78,9.54,-0.24
