_id,Recipe,Mutated,Corrected,Desired,Executed,Deviation
81,"","","","","",""
82,"","","","","",""
83,Total,"","","","",""
84,Hok 03-02-023                                                                                   Stable     3      Group    2      Animal shelter        23,"","","","",""
85,"","","","","",""
86,"","","","","",""
87,Total,"","","","",""
88,Hok 03-02-024                                                                                   Stable     3      Group    2      Animal shelter        24,"","","","",""
89,"","","","","",""
90,"","","","","",""
91,Total,"","","","",""
92,Hok 03-02-025                                                                                   Stable     3      Group    2      Animal shelter        25,"","","","",""
93,"","","","","",""
94,"","","","","",""
95,Total,"","","","",""
96,Hok 03-03-027                                                                                   Stable     3      Group    3      Animal shelter        27,"","","","",""
97,"","","","","",""
98,"","","","","",""
99,Total,"","","","",""
100,Hok 03-03-028                                                                                   Stable     3      Group    3      Animal shelter        28,"","","","",""
101,"","","","","",""
102,"","","","","",""
103,Total,"","","","",""
104,Hok 03-03-029                                                                                   Stable     3      Group    3      Animal shelter        29,"","","","",""
105,"","","","","",""
106,"","","","","",""
107,Total,"","","","",""
108,Hok 03-03-030                                                                                   Stable     3      Group    3      Animal shelter        30,"","","","",""
109,"","","","","",""
110,"","","","","",""
111,Total,"","","","",""
112,Hok 03-03-031                                                                                   Stable     3      Group    3      Animal shelter        31,"","","","",""
113,"","","","","",""
114,"","","","","",""
115,Total,"","","","",""
116,Hok 03-03-032                                                                                   Stable     3      Group    3      Animal shelter        32,"","","","",""
117,"","","","","",""
118,"","","","","",""
119,Total,"","","","",""
120,Hok 03-03-033                                                                                   Stable     3      Group    3      Animal shelter        33,"","","","",""
121,"","","","","",""
122,"","","","","",""
123,Total,"","","","",""
124,Hok 03-03-034                                                                                   Stable     3      Group    3      Animal shelter        34,"","","","",""
125,Hok 03-03-036                                                                                   Stable     3      Group    3      Animal shelter        36,"","","","",""
126,"","","","","",""
127,"","","","","",""
128,Total,"","","","",""
129,Hok 03-03-037                                                                                   Stable     3      Group    3      Animal shelter        37,"","","","",""
130,"","","","","",""
131,"","","","","",""
132,Total,"","","","",""
133,Hok 03-04-038                                                                                   Stable     3      Group    4      Animal shelter        38,"","","","",""
134,"","","","","",""
135,"","","","","",""
136,Total,"","","","",""
137,Hok 03-04-039                                                                                   Stable     3      Group    4      Animal shelter        39,"","","","",""
138,"","","","","",""
139,"","","","","",""
140,Total,"","","","",""
141,Hok 03-04-040                                                                                   Stable     3      Group    4      Animal shelter        40,"","","","",""
142,"","","","","",""
143,"","","","","",""
144,Total,"","","","",""
145,Hok 03-04-041                                                                                   Stable     3      Group    4      Animal shelter        41,"","","","",""
146,"","","","","",""
147,"","","","","",""
148,Total,"","","","",""
149,Hok 03-04-042                                                                                   Stable     3      Group    4      Animal shelter        42,"","","","",""
150,"","","","","",""
151,"","","","","",""
152,Total,"","","","",""
153,Hok 03-04-043                                                                                   Stable     3      Group    4      Animal shelter        43,"","","","",""
154,Hok 03-04-045                                                                                   Stable     3      Group    4      Animal shelter        45,"","","","",""
155,"","","","","",""
156,"","","","","",""
157,Total,"","","","",""
158,Hok 03-04-046                                                                                   Stable     3      Group    4      Animal shelter        46,"","","","",""
159,"","","","","",""
160,"","","","","",""
161,Total,"","","","",""
162,Hok 03-04-047                                                                                   Stable     3      Group    4      Animal shelter        47,"","","","",""
163,"","","","","",""
164,"","","","","",""
165,Total,"","","","",""
166,Hok 03-04-048                                                                                   Stable     3      Group    4      Animal shelter        48,"","","","",""
167,"","","","","",""
168,"","","","","",""
169,Total,"","","","",""
170,Hok 03-04-049                                                                                   Stable     3      Group    4      Animal shelter        49,"","","","",""
171,"","","","","",""
172,"","","","","",""
173,Total,"","","","",""
174,Hok 03-05-050                                                                                   Stable     3      Group    5      Animal shelter        50,"","","","",""
175,"","","","","",""
176,"","","","","",""
177,Total,"","","","",""
178,Hok 03-05-051                                                                                   Stable     3      Group    5      Animal shelter        51,"","","","",""
179,"","","","","",""
180,"","","","","",""
181,Total,"","","","",""
182,Hok 03-05-052                                                                                   Stable     3      Group    5      Animal shelter        52,"","","","",""
183,Hok 03-05-054                                                                                   Stable     3      Group    5      Animal shelter        54,"","","","",""
184,"","","","","",""
185,"","","","","",""
186,Total,"","","","",""
187,Hok 03-05-055                                                                                   Stable     3      Group    5      Animal shelter        55,"","","","",""
188,"","","","","",""
189,"","","","","",""
190,Total,"","","","",""
191,Hok 03-05-056                                                                                   Stable     3      Group    5      Animal shelter        56,"","","","",""
192,"","","","","",""
193,"","","","","",""
194,Total,"","","","",""
195,Hok 03-05-057                                                                                   Stable     3      Group    5      Animal shelter        57,"","","","",""
196,"","","","","",""
197,"","","","","",""
198,Total,"","","","",""
199,Hok 03-05-058                                                                                   Stable     3      Group    5      Animal shelter        58,"","","","",""
200,"","","","","",""
201,"","","","","",""
202,Total,"","","","",""
203,Hok 03-05-059                                                                                   Stable     3      Group    5      Animal shelter        59,"","","","",""
204,"","","","","",""
205,"","","","","",""
206,Total,"","","","",""
207,Hok 03-05-060                                                                                   Stable     3      Group    5      Animal shelter        60,"","","","",""
208,"","","","","",""
209,"","","","","",""
210,Total,"","","","",""
211,Hok 03-05-061                                                                                   Stable     3      Group    5      Animal shelter        61,"","","","",""
212,Hok 03-06-063                                                                                   Stable     3      Group    6      Animal shelter        63,"","","","",""
213,"","","","","",""
214,"","","","","",""
215,Total,"","","","",""
216,Hok 03-06-064                                                                                   Stable     3      Group    6      Animal shelter        64,"","","","",""
217,"","","","","",""
218,"","","","","",""
219,Total,"","","","",""
220,Hok 03-06-065                                                                                   Stable     3      Group    6      Animal shelter        65,"","","","",""
221,"","","","","",""
222,"","","","","",""
223,Total,"","","","",""
224,Hok 03-06-066                                                                                   Stable     3      Group    6      Animal shelter        66,"","","","",""
225,"","","","","",""
226,"","","","","",""
227,Total,"","","","",""
228,Hok 03-06-067                                                                                   Stable     3      Group    6      Animal shelter        67,"","","","",""
229,"","","","","",""
230,"","","","","",""
231,Total,"","","","",""
232,Hok 03-06-068                                                                                   Stable     3      Group    6      Animal shelter        68,"","","","",""
233,"","","","","",""
234,"","","","","",""
235,Total,"","","","",""
236,Hok 03-06-069                                                                                   Stable     3      Group    6      Animal shelter        69,"","","","",""
237,"","","","","",""
238,"","","","","",""
239,Total,"","","","",""
240,Hok 03-06-070                                                                                   Stable     3      Group    6      Animal shelter        70,"","","","",""
241,Hok 03-06-072                                                                                   Stable     3      Group    6      Animal shelter        72,"","","","",""
242,"","","","","",""
243,"","","","","",""
244,Total,"","","","",""
245,Hok 03-06-073                                                                                   Stable     3      Group    6      Animal shelter        73,"","","","",""
246,"","","","","",""
247,"","","","","",""
248,Total,"","","","",""
249,Hok 03-07-074                                                                                   Stable     3      Group    7      Animal shelter        74,"","","","",""
250,"","","","","",""
251,"","","","","",""
252,Total,"","","","",""
253,Hok 03-07-075                                                                                   Stable     3      Group    7      Animal shelter        75,"","","","",""
254,"","","","","",""
255,"","","","","",""
256,Total,"","","","",""
257,Hok 03-07-076                                                                                   Stable     3      Group    7      Animal shelter        76,"","","","",""
258,"","","","","",""
259,"","","","","",""
260,Total,"","","","",""
261,Hok 03-07-077                                                                                   Stable     3      Group    7      Animal shelter        77,"","","","",""
262,"","","","","",""
263,"","","","","",""
264,Total,"","","","",""
265,Hok 03-07-078                                                                                   Stable     3      Group    7      Animal shelter        78,"","","","",""
266,"","","","","",""
267,"","","","","",""
268,Total,"","","","",""
269,Hok 03-07-079                                                                                   Stable     3      Group    7      Animal shelter        79,"","","","",""
270,"","","","","",""
271,"","","","","",""
272,Total,"","","","",""
273,Hok 03-07-080                                                                                   Stable     3      Group    7      Animal shelter        80,"","","","",""
274,"","","","","",""
275,"","","","","",""
276,Total,"","","","",""
277,Hok 03-07-081                                                                                   Stable     3      Group    7      Animal shelter        81,"","","","",""
278,"","","","","",""
279,"","","","","",""
280,Total,"","","","",""
281,Hok 03-07-082                                                                                   Stable     3      Group    7      Animal shelter        82,"","","","",""
282,"","","","","",""
283,"","","","","",""
284,Total,"","","","",""
285,Hok 03-07-083                                                                                   Stable     3      Group    7      Animal shelter        83,"","","","",""
286,"","","","","",""
287,"","","","","",""
288,Total,"","","","",""
289,Hok 03-07-084                                                                                   Stable     3      Group    7      Animal shelter        84,"","","","",""
290,"","","","","",""
291,"","","","","",""
292,Total,"","","","",""
293,Hok 03-07-085                                                                                   Stable     3      Group    7      Animal shelter        85,"","","","",""
294,"","","","","",""
295,"","","","","",""
296,Total,"","","","",""
297,Hok 03-08-086                                                                                   Stable     3      Group    8      Animal shelter        86,"","","","",""
298,"","","","","",""
299,"","","","","",""
300,Total,"","","","",""
301,Hok 03-08-087                                                                                   Stable     3      Group    8      Animal shelter        87,"","","","",""
302,"","","","","",""
303,"","","","","",""
304,Total,"","","","",""
305,Hok 03-08-088                                                                                   Stable     3      Group    8      Animal shelter        88,"","","","",""
306,"","","","","",""
307,"","","","","",""
308,Total,"","","","",""
309,Hok 03-08-089                                                                                   Stable     3      Group    8      Animal shelter        89,"","","","",""
310,"","","","","",""
311,"","","","","",""
312,Total,"","","","",""
313,Hok 03-08-090                                                                                   Stable     3      Group    8      Animal shelter        90,"","","","",""
314,"","","","","",""
315,"","","","","",""
316,Total,"","","","",""
317,Hok 03-08-091                                                                                   Stable     3      Group    8      Animal shelter        91,"","","","",""
318,"","","","","",""
319,"","","","","",""
320,Total,"","","","",""
321,Hok 03-08-092                                                                                   Stable     3      Group    8      Animal shelter        92,"","","","",""
322,"","","","","",""
323,"","","","","",""
324,Total,"","","","",""
325,Hok 03-08-093                                                                                   Stable     3      Group    8      Animal shelter        93,"","","","",""
326,"","","","","",""
327,"","","","","",""
328,Total,"","","","",""
329,Hok 03-08-094                                                                                   Stable     3      Group    8      Animal shelter        94,"","","","",""
330,"","","","","",""
331,"","","","","",""
332,Total,"","","","",""
333,Hok 03-08-095                                                                                   Stable     3      Group    8      Animal shelter        95,"","","","",""
334,"","","","","",""
335,"","","","","",""
336,Total,"","","","",""
337,Hok 03-08-096                                                                                   Stable     3      Group    8      Animal shelter        96,"","","","",""
338,"","","","","",""
339,"","","","","",""
340,Total,"","","","",""
341,Hok 03-08-097                                                                                   Stable     3      Group    8      Animal shelter        97,"","","","",""
342,"","","","","",""
343,"","","","","",""
344,Total,"","","","",""
