_id,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
76,Dosing Default,06:12,06:12,Trough [02-01-156],12.24,8.57,9.15,9.15,8.75,-0.4
77,Dosing Default,06:12,06:13,Trough [02-01-157],12.24,10.4,10.63,10.63,9.92,-0.71
78,Dosing Default,06:13,06:13,Trough [02-01-158],10.2,8.16,8.69,8.69,7.93,-0.76
79,Dosing Default,06:15,06:15,Trough [02-01-159],12.24,11.02,11.49,11.49,10.86,-0.63
80,Dosing Default,06:15,06:15,Trough [02-01-160],12.24,9.18,9.3,9.3,9.65,0.35
81,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
82,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
83,Dosing Default,06:16,06:16,Trough [02-01-161],12.24,10.4,10.29,10.29,10.0,-0.29
84,Dosing Default,06:16,06:16,Trough [02-01-162],12.24,10.4,10.7,10.7,9.18,-1.52
85,Dosing Default,06:16,06:16,Trough [02-01-163],12.24,12.85,13.05,13.05,12.86,-0.19
86,Dosing Default,06:17,06:17,Trough [02-01-164],12.24,9.79,10.33,10.33,9.92,-0.41
87,Dosing Default,06:17,06:17,Trough [02-01-165],12.24,12.85,13.14,13.14,12.22,-0.92
88,Dosing Default,06:17,06:17,Trough [02-01-166],12.24,11.02,11.3,11.3,10.37,-0.93
89,Dosing Default,06:18,06:18,Trough [02-01-167],12.24,9.79,10.36,10.36,9.9,-0.46
90,Dosing Default,06:18,06:18,Trough [02-01-168],12.24,11.02,11.19,11.19,10.22,-0.97
91,Dosing Default,06:18,06:19,Trough [02-01-169],12.24,11.02,11.43,11.43,12.53,1.1
92,Dosing Default,06:19,06:19,Trough [02-01-170],12.24,7.96,8.5,8.5,8.09,-0.41
93,Dosing Default,06:21,06:21,Trough [02-01-171],10.2,8.67,9.76,9.76,8.76,-1.0
94,Dosing Default,06:21,06:21,Trough [02-01-172],12.24,12.24,12.89,12.89,12.4,-0.49
95,Dosing Default,06:22,06:22,Trough [02-01-173],12.24,11.02,11.43,11.43,10.67,-0.76
96,Dosing Default,06:22,06:22,Trough [02-01-174],12.24,9.18,9.29,9.29,9.14,-0.15
97,Dosing Default,06:22,06:23,Trough [02-01-175],12.24,9.79,10.37,10.37,9.86,-0.51
98,Dosing Default,06:23,06:23,Trough [02-01-176],12.24,9.79,10.06,10.06,9.29,-0.77
99,Dosing Default,06:23,06:23,Trough [02-01-177],12.24,11.63,12.02,12.02,11.14,-0.88
100,Dosing Default,06:23,06:24,Trough [02-01-178],12.24,10.4,11.18,11.18,10.43,-0.75
101,Dosing Default,06:24,06:24,Trough [02-01-179],12.24,11.02,11.16,11.16,10.84,-0.32
102,Dosing Default,06:24,06:24,Trough [02-01-180],12.24,12.24,12.69,12.69,11.63,-1.06
103,Dosing Default,06:25,06:25,Trough [02-01-181],12.24,9.18,9.08,9.08,7.56,-1.52
104,Dosing Default,06:25,06:25,Trough [02-01-182],12.24,9.79,11.47,11.47,10.72,-0.75
105,Dosing Default,06:27,06:27,Trough [02-01-183],12.24,9.79,9.39,9.39,8.99,-0.4
106,Dosing Default,06:27,06:28,Trough [02-01-184],12.24,9.79,9.94,9.94,10.14,0.2
107,Dosing Default,06:28,06:28,Trough [02-01-185],12.24,10.4,10.63,10.63,9.98,-0.65
108,Dosing Default,06:28,06:28,Trough [02-01-186],12.24,11.02,11.54,11.54,10.88,-0.66
109,Dosing Default,06:29,06:29,Trough [02-01-187],12.24,12.24,12.63,12.63,12.35,-0.28
110,Dosing Default,06:29,06:29,Trough [02-01-188],12.24,11.02,11.65,11.65,11.42,-0.23
111,Dosing Default,06:29,06:30,Trough [02-01-189],12.24,13.46,13.52,13.52,12.68,-0.84
112,Dosing Default,06:30,06:30,Trough [02-01-190],12.24,9.79,10.6,10.6,9.75,-0.85
113,Dosing Default,06:30,06:30,Trough [02-01-191],12.24,11.02,11.64,11.64,11.09,-0.55
114,Dosing Default,06:30,06:31,Trough [02-01-192],12.24,9.18,9.28,9.28,8.71,-0.57
115,Dosing Default,06:31,06:31,Trough [02-01-193],12.24,9.79,11.51,11.51,10.66,-0.85
116,Dosing Default,06:31,06:31,Trough [02-01-194],12.24,10.4,10.63,10.63,10.38,-0.25
117,Dosing Default,06:33,06:34,Trough [01-01-195],12.24,11.02,11.24,11.24,10.55,-0.69
118,Dosing Default,06:34,06:34,Trough [01-01-196],12.24,9.79,10.13,10.13,9.21,-0.92
119,Dosing Default,06:34,06:34,Trough [01-01-197],12.24,11.63,11.99,11.99,11.66,-0.33
120,Dosing Default,06:34,06:35,Trough [01-01-198],12.24,11.02,11.52,11.52,11.2,-0.32
121,Dosing Default,06:35,06:35,Trough [01-01-199],12.24,12.24,12.39,12.39,11.73,-0.66
122,Dosing Default,06:35,06:35,Trough [01-01-200],12.24,13.46,13.72,13.72,13.47,-0.25
123,Dosing Default,06:35,06:36,Trough [01-01-201],12.24,9.18,9.68,9.68,9.18,-0.5
124,44287                                                                                                                     Status           Finished,"","","","","","","","",""
125,Recipe,"","","","","","","","",""
126,Density Dry matter,"","","","","","","","",""
127,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
128,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
129,Loading WeightBased,06:46,06:48,Strobunker 1,58.02,47.45,49.6,47.41,47.03,-0.38
130,Mixing Continuous,06:47,06:48,"",0.0,0.0,0.0,0.0,0.0,0.0
131,Loading WeightBased,06:49,06:51,Broksilo 3,586.62,479.79,501.52,479.37,489.08,9.71
132,Mixing Continuous,06:49,06:51,"",0.0,0.0,0.0,0.0,0.0,0.0
133,Mixing OnTime,06:51,06:55,"",0.0,0.0,0.0,0.0,0.0,0.0
134,Dosing Default,06:58,06:58,Trough [01-01-202],10.2,8.67,9.43,9.43,8.78,-0.65
135,Dosing Default,06:59,06:59,Trough [01-01-203],12.24,7.34,7.94,7.94,7.47,-0.47
136,Dosing Default,06:59,06:59,Trough [01-01-204],12.24,11.02,11.98,11.98,11.6,-0.38
137,Dosing Default,07:00,07:00,Trough [01-01-205],12.24,11.02,11.83,11.83,11.17,-0.66
138,Dosing Default,07:00,07:00,Trough [01-01-206],12.24,8.57,9.17,9.17,8.74,-0.43
139,Dosing Default,07:02,07:03,Trough [01-01-207],12.24,12.24,12.84,12.84,12.57,-0.27
140,Dosing Default,07:03,07:03,Trough [01-01-208],12.24,8.57,8.53,8.53,8.12,-0.41
141,Dosing Default,07:03,07:03,Trough [01-01-209],10.2,8.16,8.0,8.0,7.6,-0.4
142,Dosing Default,07:03,07:04,Trough [01-01-210],12.24,11.63,12.21,12.21,12.18,-0.03
143,Dosing Default,07:04,07:04,Trough [01-01-211],12.24,9.79,10.3,10.3,9.91,-0.39
144,Dosing Default,07:04,07:04,Trough [01-01-212],12.24,8.57,8.56,8.56,8.0,-0.56
145,Dosing Default,07:05,07:05,Trough [01-01-213],12.24,11.02,11.65,11.65,11.35,-0.3
146,Dosing Default,07:05,07:05,Trough [01-01-214],12.24,11.63,12.29,12.29,11.87,-0.42
147,Dosing Default,07:05,07:06,Trough [01-01-215],10.2,7.65,8.62,8.62,8.74,0.12
148,Dosing Default,07:06,07:06,Trough [01-01-216],12.24,10.4,10.93,10.93,10.59,-0.34
149,Dosing Default,07:06,07:06,Trough [01-01-217],12.24,8.57,9.09,9.09,8.58,-0.51
150,Dosing Default,07:06,07:07,Trough [01-01-218],12.24,9.79,10.06,10.06,9.32,-0.74
151,Dosing Default,07:09,07:09,Trough [01-01-219],12.24,9.18,9.66,9.66,9.75,0.09
152,Dosing Default,07:09,07:09,Trough [01-01-220],12.24,6.73,6.64,6.64,6.47,-0.17
153,Dosing Default,07:09,07:10,Trough [01-01-221],12.24,9.18,9.65,9.65,8.95,-0.7
154,Dosing Default,07:10,07:10,Trough [01-01-222],12.24,10.4,11.85,11.85,10.98,-0.87
155,Dosing Default,07:10,07:10,Trough [01-01-223],12.24,11.63,10.59,10.59,10.27,-0.32
156,Dosing Default,07:10,07:11,Trough [01-01-224],12.24,11.63,11.63,11.63,10.96,-0.67
157,Dosing Default,07:11,07:11,Trough [01-01-225],12.24,8.57,10.42,10.42,9.13,-1.29
158,Dosing Default,07:11,07:11,Trough [01-01-226],10.2,7.14,6.94,6.94,5.77,-1.17
159,Dosing Default,07:12,07:12,Trough [01-01-227],12.24,7.96,8.67,8.67,8.1,-0.57
160,Dosing Default,07:12,07:12,Trough [01-01-228],12.24,10.4,10.88,10.88,10.32,-0.56
161,Dosing Default,07:13,07:13,Trough [01-01-229],12.24,9.18,10.06,10.06,9.71,-0.35
162,Dosing Default,07:13,07:13,Trough [01-01-230],12.24,8.57,8.49,8.49,7.79,-0.7
163,Dosing Default,07:15,07:15,Trough [01-02-231],12.24,11.63,11.98,11.98,11.4,-0.58
164,Dosing Default,07:15,07:15,Trough [01-02-232],12.24,11.63,11.38,11.38,10.83,-0.55
165,Dosing Default,07:16,07:16,Trough [01-02-233],12.24,9.18,9.28,9.28,8.91,-0.37
166,Dosing Default,07:16,07:16,Trough [01-02-234],12.24,9.79,10.05,10.05,9.54,-0.51
167,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
168,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
169,Dosing Default,07:16,07:17,Trough [01-02-235],12.24,12.24,12.76,12.76,12.06,-0.7
170,Dosing Default,07:17,07:17,Trough [01-02-236],12.24,11.02,11.4,11.4,11.09,-0.31
171,Dosing Default,07:17,07:17,Trough [01-02-237],12.24,12.24,12.82,12.82,12.64,-0.18
172,Dosing Default,07:17,07:18,Trough [01-02-238],12.24,10.4,11.3,11.3,10.27,-1.03
173,Dosing Default,07:18,07:18,Trough [01-02-239],10.2,9.18,9.77,9.77,9.43,-0.34
174,Dosing Default,07:18,07:18,Trough [01-02-240],12.24,12.24,12.58,12.58,11.59,-0.99
175,Dosing Default,07:19,07:19,Trough [01-02-241],10.2,8.16,8.52,8.52,8.21,-0.31
176,Dosing Default,07:19,07:19,Trough [01-02-242],12.24,10.4,10.47,10.47,9.38,-1.09
177,Dosing Default,07:21,07:21,Trough [01-02-243],12.24,7.96,8.43,8.43,7.65,-0.78
178,Dosing Default,07:22,07:22,Trough [01-02-244],12.24,10.4,10.94,10.94,10.72,-0.22
179,Dosing Default,07:22,07:22,Trough [01-02-245],10.2,9.18,9.38,9.38,9.3,-0.08
180,Dosing Default,07:22,07:23,Trough [01-02-246],12.24,8.57,9.09,9.09,8.62,-0.47
181,Dosing Default,07:23,07:23,Trough [01-02-247],12.24,11.02,11.53,11.53,10.98,-0.55
182,Dosing Default,07:23,07:23,Trough [01-02-248],12.24,8.57,9.0,9.0,8.56,-0.44
183,Dosing Default,07:24,07:24,Trough [01-02-249],10.2,10.71,11.54,11.54,11.3,-0.24
184,Dosing Default,07:24,07:24,Trough [01-02-250],12.24,10.4,10.93,10.93,9.77,-1.16
185,Dosing Default,07:24,07:25,Trough [01-02-251],12.24,9.18,9.86,9.86,10.16,0.3
186,Dosing Default,07:25,07:25,Trough [01-02-252],12.24,11.02,11.06,11.06,10.74,-0.32
187,Dosing Default,07:25,07:25,Trough [01-02-253],12.24,9.79,10.54,10.54,9.85,-0.69
188,Dosing Default,07:25,07:26,Trough [01-02-254],12.24,9.18,9.76,9.76,9.64,-0.12
189,Dosing Default,07:27,07:28,Trough [01-02-255],12.24,7.96,7.83,7.83,7.7,-0.13
190,44288                                                                                                                     Status           Finished,"","","","","","","","",""
191,Recipe,"","","","","","","","",""
192,Density Dry matter,"","","","","","","","",""
193,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
194,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
195,Loading WeightBased,07:35,07:38,Strobunker 1,50.86,47.37,49.33,46.18,45.85,-0.33
196,Mixing Continuous,07:36,07:38,"",0.0,0.0,0.0,0.0,0.0,0.0
197,Loading WeightBased,07:38,07:40,Broksilo 3,514.22,478.95,498.75,466.94,487.37,20.43
198,Mixing Continuous,07:38,07:40,"",0.0,0.0,0.0,0.0,0.0,0.0
199,Mixing OnTime,07:40,07:44,"",0.0,0.0,0.0,0.0,0.0,0.0
200,Dosing Default,07:45,07:45,Trough [01-02-256],12.24,10.4,10.83,10.83,10.78,-0.05
201,Dosing Default,07:46,07:46,Trough [01-02-257],12.24,10.4,10.17,10.17,10.31,0.14
202,Dosing Default,07:46,07:46,Trough [01-02-258],10.2,9.69,9.52,9.52,10.26,0.74
203,Dosing Default,07:47,07:47,Trough [01-02-259],12.24,11.02,11.19,11.19,10.66,-0.53
204,Dosing Default,07:47,07:47,Trough [01-02-260],12.24,10.4,10.5,10.5,10.78,0.28
205,Dosing Default,07:47,07:48,Trough [01-02-261],12.24,13.46,13.72,13.72,13.41,-0.31
206,Dosing Default,07:48,07:48,Trough [01-02-262],12.24,12.85,13.17,13.17,12.75,-0.42
207,Dosing Default,07:49,07:49,Trough [01-02-263],12.24,12.24,12.97,12.97,12.36,-0.61
208,Dosing Default,07:49,07:49,Trough [01-02-264],12.24,11.63,11.89,11.89,12.2,0.31
209,Command,Start,End,Location,Recipe,Mutated,Averaged,Desired,Executed,Accuracy
210,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
211,Dosing Default,07:49,07:50,Trough [01-02-265],10.2,8.16,8.76,8.76,8.08,-0.68
212,Dosing Default,07:50,07:50,Trough [01-02-266],12.24,10.4,12.96,12.96,12.37,-0.59
213,Dosing Default,07:52,07:52,Trough [01-02-267],12.24,12.24,14.39,14.39,14.38,-0.01
214,Dosing Default,07:52,07:52,Trough [01-02-268],12.24,9.79,10.16,10.16,10.62,0.46
215,Dosing Default,07:53,07:53,Trough [01-02-269],12.24,8.57,8.74,8.74,8.54,-0.2
216,Dosing Default,07:53,07:53,Trough [01-02-270],12.24,11.63,11.99,11.99,11.65,-0.34
217,Dosing Default,07:53,07:54,Trough [01-02-271],12.24,12.24,12.81,12.81,12.33,-0.48
218,Dosing Default,07:54,07:54,Trough [01-02-272],12.24,12.24,12.77,12.77,12.33,-0.44
219,Dosing Default,07:54,07:54,Trough [01-02-273],12.24,12.24,13.33,13.33,13.42,0.09
220,Dosing Default,07:54,07:55,Trough [01-02-274],12.24,12.24,13.2,13.2,12.79,-0.41
221,Dosing Default,07:55,07:55,Trough [01-02-275],12.24,11.02,11.73,11.73,11.91,0.18
222,Dosing Default,07:55,07:55,Trough [01-02-276],12.24,12.24,12.66,12.66,12.13,-0.53
223,Dosing Default,07:56,07:56,Trough [01-02-277],12.24,9.79,10.13,10.13,9.96,-0.17
224,Dosing Default,07:56,07:56,Trough [01-02-278],12.24,11.63,12.21,12.21,11.97,-0.24
225,Dosing Default,07:58,07:58,Trough [01-02-279],12.24,11.02,11.27,11.27,10.4,-0.87
226,Dosing Default,07:58,07:59,Trough [01-02-280],12.24,13.46,13.77,13.77,14.32,0.55
227,Dosing Default,07:59,07:59,Trough [01-02-281],10.2,11.73,11.67,11.67,10.67,-1.0
228,Dosing Default,07:59,07:59,Trough [01-02-282],12.24,11.02,11.56,11.56,12.31,0.75
229,Dosing Default,08:00,08:00,Trough [01-02-283],12.24,12.85,13.5,13.5,13.5,0.0
230,Dosing Default,08:00,08:00,Trough [01-02-284],12.24,11.02,11.32,11.32,10.85,-0.47
231,Dosing Default,08:00,08:01,Trough [01-02-285],12.24,11.02,12.09,12.09,11.23,-0.86
232,Dosing Default,08:01,08:01,Trough [01-02-286],10.2,11.73,11.94,11.94,11.69,-0.25
233,Dosing Default,08:01,08:01,Trough [01-02-287],12.24,9.79,9.57,9.57,8.78,-0.79
234,Dosing Default,08:01,08:02,Trough [01-02-288],12.24,11.63,12.4,12.4,12.12,-0.28
235,Dosing Default,08:02,08:02,Trough [01-02-289],12.24,12.85,13.24,13.24,11.82,-1.42
236,Dosing Default,08:02,08:02,Trough [01-02-290],12.24,8.57,8.65,8.65,8.42,-0.23
237,Dosing Default,08:04,08:04,Trough [01-02-291],12.24,11.63,11.7,11.7,10.96,-0.74
238,Dosing Default,08:05,08:05,Trough [01-02-292],12.24,10.4,10.67,10.67,10.44,-0.23
239,Dosing Default,08:05,08:05,Trough [01-02-293],12.24,10.4,10.72,10.72,10.64,-0.08
240,Dosing Default,08:05,08:05,Trough [01-02-294],12.24,11.63,11.66,11.66,11.57,-0.09
241,Dosing Default,08:06,08:06,Trough [01-02-295],12.24,11.02,11.86,11.86,11.44,-0.42
242,Dosing Default,08:06,08:06,Trough [01-02-296],12.24,12.85,13.05,13.05,12.73,-0.32
243,Dosing Default,08:06,08:07,Trough [01-02-297],12.24,9.18,9.34,9.34,8.86,-0.48
244,Dosing Default,08:07,08:07,Trough [01-02-298],12.24,11.02,11.54,11.54,10.6,-0.94
245,Dosing Default,08:07,08:08,Trough [01-02-299],12.24,7.34,8.44,8.44,8.54,0.1
246,Dosing Default,08:08,08:08,Trough [01-02-300],12.24,14.69,15.0,15.0,15.74,0.74
247,Dosing Default,08:08,08:08,Trough [01-02-301],10.2,10.71,10.32,10.32,9.59,-0.73
248,Dosing Default,08:08,08:09,Trough [01-02-302],12.24,12.24,13.02,13.02,11.5,-1.52
249,44289                                                                                                                     Status           Finished,"","","","","","","","",""
250,Recipe,"","","","","","","","",""
251,Density Dry matter,"","","","","","","","",""
252,End                17-01-2020 08:50,"","","","","","","","",""
253,Command                   Start      End        Location                              Recipe,"","","","","","","","",""
254,"","","","",[kg],[kg],[kg],[kg],[kg],[kg]
255,Loading WeightBased,08:15,08:17,Strobunker 1,53.8,43.89,46.31,43.27,43.36,0.09
256,Mixing Continuous,08:15,08:17,"",0.0,0.0,0.0,0.0,0.0,0.0
257,Loading WeightBased,08:18,08:19,Broksilo 3,543.92,443.77,468.25,437.5,434.9,-2.6
258,Mixing Continuous,08:18,08:19,"",0.0,0.0,0.0,0.0,0.0,0.0
259,Mixing OnTime,08:19,08:23,"",0.0,0.0,0.0,0.0,0.0,0.0
260,Dosing Default,08:26,08:26,Trough [03-01-001],4.08,2.04,1.53,1.53,1.84,0.31
261,Dosing Default,08:26,08:26,Trough [03-01-002],12.24,8.57,8.53,8.53,8.68,0.15
262,Dosing Default,08:26,08:26,Trough [03-01-003],12.24,7.96,7.06,7.06,6.9,-0.16
263,Dosing Default,08:27,08:27,Trough [03-01-004],12.24,4.9,5.22,5.22,5.17,-0.05
264,Dosing Default,08:27,08:27,Trough [03-01-005],12.24,7.96,7.81,7.81,7.86,0.05
265,Dosing Default,08:27,08:28,Trough [03-01-006],12.24,7.34,7.55,7.55,6.69,-0.86
266,Dosing Default,08:28,08:28,Trough [03-01-007],12.24,9.18,10.4,10.4,10.28,-0.12
267,Dosing Default,08:28,08:28,Trough [03-01-008],12.24,10.4,10.89,10.89,10.48,-0.41
268,Dosing Default,08:28,08:29,Trough [03-01-009],12.24,10.4,11.42,11.42,10.98,-0.44
269,Dosing Default,08:29,08:29,Trough [03-01-010],12.24,10.4,11.24,11.24,10.94,-0.3
270,Dosing Default,08:29,08:29,Trough [03-01-011],12.24,11.63,11.04,11.04,10.17,-0.87
271,Dosing Default,08:30,08:30,Trough [03-01-012],12.24,11.02,11.89,11.89,11.14,-0.75
272,Dosing Default,08:30,08:30,Trough [03-01-013],12.24,8.57,9.2,9.2,8.93,-0.27
273,Dosing Default,08:32,08:32,Trough [03-02-014],12.24,11.02,11.98,11.98,11.42,-0.56
274,Dosing Default,08:32,08:32,Trough [03-02-015],12.24,10.4,10.0,10.0,9.57,-0.43
275,Dosing Default,08:33,08:33,Trough [03-02-016],12.24,11.02,10.84,10.84,10.59,-0.25
276,Dosing Default,08:33,08:33,Trough [03-02-017],12.24,9.79,10.45,10.45,9.6,-0.85
277,Dosing Default,08:33,08:34,Trough [03-02-018],12.24,11.63,11.62,11.62,11.23,-0.39
278,Dosing Default,08:34,08:34,Trough [03-02-019],12.24,10.4,10.93,10.93,10.79,-0.14
279,Dosing Default,08:34,08:34,Trough [03-02-020],10.2,8.16,8.82,8.82,7.94,-0.88
280,Dosing Default,08:34,08:34,Trough [03-02-021],12.24,10.4,11.15,11.15,10.92,-0.23
281,Dosing Default,08:35,08:35,Trough [03-02-022],10.2,7.65,8.29,8.29,7.74,-0.55
282,Dosing Default,08:35,08:35,Trough [03-02-023],12.24,8.57,8.56,8.56,8.47,-0.09
